state,x,y
Andaman And Nicobar Islands,65.0,-216.0
Andhra Pradesh,-74.0,-133.0
Arunachal Pradesh,158.0,86.0
Assam,135.0, 48.0
Bihar,39.0,40.0
Chhattisgarh,-22.0,-23.0
Goa,-138.0,-130.0
Gujarat,-195.0,0.0
Haryana,-108.0,100.0
Himachal Pradesh,-95.0,148.0
Jammu And Kashmir,-130.0,194.0
Jharkhand,20.0,9.0
Karnataka,-142.0,-148.0
Kerala,-119.0,-211.0
Lakshadweep,-204.0,-223.0
Madhya Pradesh,-114.0,-8.0
Maharashtra,-139.0,-65.0
Manipur,169.0,22.0
Meghalaya,115.0, 34.0
Mizoram,154.0,-0.0
Nagaland,181.0,46.0
Odisha,10.0,-48.0
Punjab,-130.0,130.0
Rajasthan,-165.0,51.0
Sikkim,75.0,69.0
Tamil Nadu,-78.0,-198.0
Telangana,-67.0,-82.0
Tripura,120.0,8.0
Uttar Pradesh,-64.0,68.0
Uttarakhand,-62.0,117.0
West Bengal,69.0,-5.0