Hindi,English
है,Is
।,","
के,Of
मैं,I
नहीं,No
हैं,Huh
में,In
एक,One
आप,You
लिए,For
और,And
यह,This
से,From
की,Of
क्या,what
कि,That
तुम,you
हो,Are
कर,do
मुझे,Me
को,To
हम,We
था,was
वह,He
पर,Feather
हूँ,am
रहे,are
भी,Too
रहा,Stayed
का,of
अपने,Our
कुछ,some
तो,So
गया,Gone
इस,This
मेरे,My 
ठीक,Well
करने,Do
किया,did
साथ,with
उसे,Him
हाँ,Yes
वे,they
सकते,Can
लेकिन,But
यहाँ,here
तुम्हें,You
कोई,any
तरह,Like
अब,now
पता,Know
होगा,Will happen
बहुत,very
बात,Thing
सकता,can
जाओ,Go
ही,Sole
दिया,Gave
करना,Doing
जा,Go
मेरी,My
सब,All
बारे,About
लगता,Festive
कहा,Told
जो,that
वहाँ,there
जब,when
इसे,This
अच्छा,Good
चाहिए,should
बाहर,out
करो,Do
क्यों,Why?
अपनी,Own
थे,Were
चलो,Let us go
दो,Two
ले,Take
किसी,Any 
फिर,Then
काम,Work
अगर,If
ये,This
कैसे,How
करते,do
पहले,before
बस,enough
चाहते,Want
जाएगा,Will go
आदमी,Man
कभी,sometimes
समय,Time
वापस,Back
हमें,Us
रही,doing
आ,Come
तक,until
हमारे,Our
मेरा,My
रूप,Form
मैंने,I
करता,Do
या,either
अभी,just
मिल,Mill
चाहता,Want
घर,House
उसके,His
सभी,all
उस,that
मत,Don't
आपको,To you
जाना,Go
अरे,Oho
सिर्फ,Only
बंद,off
ओह,Oh
उन्हें,them
सही,Correct
हूं,Am
थी,Was
देखो,See
ने,has
तुम्हारे,Your
प्यार,love
वो,They
जरूरत,Need
लोगों,People
हुआ,Happened
करें,Do
ऐसा,Like this
उन्होंने,They
दिन,Day
न,nor
बाद,Afterwards
कौन,Who?
हर,every
पास,Near
दे,Give
नीचे,below
देखा,saw
जाता,go
बार,Times
कृपया,Please
धन्यवाद,Thank you
पिता,father
करेंगे,will do
भगवान,God
क्योंकि,Because
लोग,People
वाला,Wave
जानते,Know
देख,See
छोड़,leave
आज,today
मतलब,Meaning
कहाँ,Where?
जीवन,life
आओ,Come
जाने,Go
अधिक,More
यही,This only
होता,Would
सर,Sir
मदद,help
रात,night
माँ,Mother
लिया,took
केवल,Only
तुमने,You
सबसे,To all
नाम,Name
मार,Kill
हुए,Has
हमेशा,Always
याद,memory
कारण,cause
गए,Went
आया,came
जानता,knows
शायद,Perhaps
साल,year
दूर,far
हे,Hey
होने,Having
फोन,Phone
भाई,Brother
वास्तव,Reality
शुरू,Start
उसकी,His
मिला,found
जगह,location
कोशिश,Effort
कम,low
सच,Truth
लग,Lag
शादी,wedding
पसंद,Like
चला,walked